# 0.40 0.47 
# 0.47 0.57
# 0.57 0.63
# 0.80 0.87
     4000.3685     0.8463     0.0012     1.0000     374.9655     
     4001.2897     0.8523     0.0013     1.0000     374.8791     
     4002.2112     0.8577     0.0015     1.0000     374.7928     
     4003.1328     0.8646     0.0015     1.0000     374.7065     
     4004.0547     0.8694     0.0013     1.0000     374.6203     
     4004.9768     0.8756     0.0012     1.0000     374.5340     
     4005.8990     0.8820     0.0010     1.0000     374.4478     
     4006.8215     0.8882     0.0011     1.0000     374.3616     
     4007.7443     0.8951     0.0013     1.0000     374.2754     
     4008.6672     0.9022     0.0013     1.0000     374.1892     
     4009.5903     0.9094     0.0013     1.0000     374.1031     
     4010.5137     0.9174     0.0013     1.0000     374.0169     
     4011.4372     0.9252     0.0012     1.0000     373.9308     
     4012.3610     0.9331     0.0011     1.0000     373.8447     
     4013.2850     0.9407     0.0011     1.0000     373.7587     
     4014.2092     0.9476     0.0012     1.0000     373.6726     
     4015.1336     0.9540     0.0013     1.0000     373.5866     
     4016.0582     0.9598     0.0012     1.0000     373.5006     
     4016.9831     0.9648     0.0010     1.0000     373.4146     
     4017.9081     0.9699     0.0008     1.0000     373.3286     
     4018.8334     0.9742     0.0009     1.0000     373.2426     
     4019.7588     0.9776     0.0008     1.0000     373.1567     
     4020.6845     0.9802     0.0009     1.0000     373.0708     
     4021.6104     0.9816     0.0008     1.0000     372.9849     
     4022.5366     0.9825     0.0010     1.0000     372.8990     
     4023.4629     0.9826     0.0010     1.0000     372.8132     
     4024.3894     0.9819     0.0009     1.0000     372.7273     
     4025.3162     0.9804     0.0010     1.0000     372.6415     
     4026.2432     0.9786     0.0010     1.0000     372.5557     
     4027.1703     0.9755     0.0010     1.0000     372.4700     
     4028.0977     0.9726     0.0011     1.0000     372.3842     
     4029.0254     0.9696     0.0011     1.0000     372.2985     
     4029.9532     0.9672     0.0009     1.0000     372.2128     
     4030.8812     0.9650     0.0009     1.0000     372.1271     
     4031.8095     0.9640     0.0010     1.0000     372.0414     
     4032.7379     0.9641     0.0008     1.0000     371.9557     
     4033.6666     0.9647     0.0005     1.0000     371.8701     
     4034.5955     0.9665     0.0008     1.0000     371.7845     
     4035.5246     0.9689     0.0010     1.0000     371.6989     
     4036.4539     0.9723     0.0009     1.0000     371.6133     
     4037.3835     0.9755     0.0010     1.0000     371.5278     
     4038.3132     0.9788     0.0010     1.0000     371.4422     
     4039.2432     0.9822     0.0009     1.0000     371.3567     
     4040.1734     0.9840     0.0010     1.0000     371.2712     
     4041.1037     0.9853     0.0009     1.0000     371.1857     
     4042.0344     0.9857     0.0008     1.0000     371.1003     
     4042.9652     0.9857     0.0008     1.0000     371.0148     
     4043.8962     0.9859     0.0010     1.0000     370.9294     
     4044.8275     0.9859     0.0010     1.0000     370.8440     
     4045.7589     0.9856     0.0009     1.0000     370.7586     
     4046.6906     0.9864     0.0008     1.0000     370.6733     
     4047.6225     0.9873     0.0008     1.0000     370.5879     
     4048.5546     0.9888     0.0008     1.0000     370.5026     
     4049.4869     0.9912     0.0010     1.0000     370.4173     
     4050.4195     0.9941     0.0010     1.0000     370.3320     
     4051.3522     0.9961     0.0009     1.0000     370.2468     
     4052.2852     0.9978     0.0007     1.0000     370.1615     
     4053.2183     0.9987     0.0008     1.0000     370.0763     
     4054.1517     0.9995     0.0011     1.0000     369.9911     
     4055.0854     0.9988     0.0011     1.0000     369.9059     
     4056.0192     0.9983     0.0012     1.0000     369.8207     
     4056.9532     0.9966     0.0011     1.0000     369.7356     
     4057.8875     0.9947     0.0010     1.0000     369.6505     
     4058.8219     0.9918     0.0009     1.0000     369.5654     
     4059.7566     0.9894     0.0010     1.0000     369.4803     
     4060.6915     0.9865     0.0010     1.0000     369.3952     
     4061.6267     0.9848     0.0009     1.0000     369.3102     
     4062.5620     0.9835     0.0009     1.0000     369.2251     
