,CN_1,CN_2,Ca4227,Fe4383,Ca4455,Fe4531,Fe5015,Mg_b,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,MgFe,Mgb/Fe
Mbi3.30Zm1.79T00.3500_iTp0.00_ACFep00_aFem02,-0.16373466650356963,-0.11763951398876502,0.07627269300958663,-0.6221065285750467,0.1074741259281169,0.44589803801362243,0.7012210141878306,0.38396021913538,0.48170500144984246,0.5228470329278554,0.30340240756603426,0.08823561084448815,0.15282574595296416,0.4351766203203503,0.7644406780246809
Mbi3.30Zm1.79T00.4000_iTp0.00_ACFep00_aFem02,-0.1680721434086732,-0.12170280222186523,0.07664623023842503,-0.6621367532727276,0.10785635653222794,0.4385886407348888,0.6830006180684921,0.3873321399641467,0.4812128978569363,0.5206838269897508,0.29582357604553716,0.08680038038977454,0.14922114102914172,0.4366577173834715,0.7731977365699391
Mbi3.30Zm1.79T00.4500_iTp0.00_ACFep00_aFem02,-0.16873736850188742,-0.12254316250095498,0.08271031846273648,-0.6804936108596231,0.10460178047635998,0.4383522671389266,0.6721774468134531,0.4098473553607989,0.48683606589377615,0.5275901880831666,0.28623222597070885,0.08905052510713339,0.14056373526921584,0.45189081145409904,0.8080377528756554
Mbi3.30Zm1.79T00.5000_iTp0.00_ACFep00_aFem02,-0.1714121833457592,-0.12523716597562914,0.08153443281113615,-0.7324233454341903,0.10063750702893764,0.4385019195421333,0.674007442810795,0.39666301437600754,0.4867174326127837,0.5264138028660467,0.2868555948327388,0.08605351726404364,0.138414938226587,0.44437788749799734,0.7830436975690221
Mbi3.30Zm1.79T00.6000_iTp0.00_ACFep00_aFem02,-0.17529670817992737,-0.12903223614512757,0.0838274121056228,-0.7707143616845573,0.09031755431191107,0.4488234103826475,0.6670692995950226,0.4296935146684633,0.4852267116553675,0.5266400040140089,0.2891865643542175,0.08285195042327552,0.13529039211866853,0.46204045020272577,0.8493085265369358
Mbi3.30Zm1.79T00.7000_iTp0.00_ACFep00_aFem02,-0.17670750319705464,-0.13078110081486038,0.08761327290265598,-0.7773775736175013,0.08516865656125824,0.45831529063027204,0.6764864030781379,0.45283472528506147,0.4881150223473257,0.5264613225935287,0.2898188445106856,0.0784162546212998,0.13091713387951018,0.47528675789118663,0.8926577631010307
Mbi3.30Zm1.79T00.8000_iTp0.00_ACFep00_aFem02,-0.17382071138100755,-0.1288942115355823,0.08706055860507461,-0.742144578546887,0.0908700427674604,0.47072357464406334,0.7107926190364032,0.4543808455099289,0.4990983172840086,0.5368537678349148,0.29247055865477367,0.07300594811284378,0.12612814263441793,0.4812319756545597,0.8772236709341006
Mbi3.30Zm1.79T00.9000_iTp0.00_ACFep00_aFem02,-0.16572880423213646,-0.12305185971546806,0.0883401168501875,-0.6007313859536632,0.10772780353485067,0.5358497315536445,0.806493403029701,0.49289169126601906,0.5341846702540596,0.5604909860172403,0.30594565530209167,0.08566474561501228,0.13078310370681187,0.5166485378096041,0.9005255363856611
Mbi3.30Zm1.79T01.0000_iTp0.00_ACFep00_aFem02,-0.15965696361647877,-0.11918490466556166,0.08844616050715054,-0.463509775768405,0.11919240842897415,0.5995600701640843,0.8624054821959621,0.4930696244172061,0.5683966463554564,0.5896435324956136,0.32381592292224215,0.10143023615236971,0.1343254749216744,0.532158299104552,0.8515587514526426
Mbi3.30Zm1.79T01.2500_iTp0.00_ACFep00_aFem02,-0.15027718024863101,-0.11257489080690046,0.08591245457602473,-0.31770839044573085,0.11511879708758666,0.6310994607723245,0.8485095776368574,0.46950445041834155,0.5868115780209082,0.6162825730826936,0.3362216860128787,0.11282986421063576,0.13150310644139968,0.5285687667399206,0.780494942956316
