,CN_1,CN_2,Ca4227,Fe4383,Ca4455,Fe4531,Fe5015,Mg_b,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,MgFe,Mgb/Fe
Mbi2.80Zm1.79T00.0300_iTp0.00_ACFep00_aFem02,-0.11490246049442049,-0.07200884623329122,0.2261267708062107,-0.04190728077211914,0.36028770193151677,0.42142475203057367,0.9096451395606032,0.36121762036126004,0.44632751393038045,0.4745285585771809,0.2448372436505618,0.07158692292546882,0.14112536504604056,0.40506004798130174,0.7845256846222165
Mbi2.80Zm1.79T00.0400_iTp0.00_ACFep00_aFem02,-0.12137623003407566,-0.0781291521143154,0.14705893540404033,-0.17070968789043564,0.3186610606758662,0.3345586814948086,0.8277159365446115,0.27006547574044754,0.36809736995747727,0.40244172207184153,0.20450922781403766,0.0580342630543231,0.12526863197794613,0.3193860579273105,0.7009779997772563
Mbi2.80Zm1.79T00.0500_iTp0.00_ACFep00_aFem02,-0.12854832411330366,-0.08454330997473361,0.09689305859030121,-0.2856284449883425,0.2873969712619423,0.2844455522877729,0.7667619302606895,0.22585684373170267,0.32011529059252,0.36151358973156494,0.1815998335940422,0.05022311579575529,0.11754731352196444,0.2737119912128749,0.6626974010382822
Mbi2.80Zm1.79T00.0600_iTp0.00_ACFep00_aFem02,-0.12983893736379631,-0.08535980316069072,0.08339356138883038,-0.29740035182194513,0.2796223482482073,0.2691113187257613,0.733492387621571,0.1973232951851833,0.30166496107161644,0.3459740750653251,0.1782090225236101,0.047611813457442524,0.11398496937379156,0.24894502579275263,0.609361956815277
Mbi2.80Zm1.79T00.0700_iTp0.00_ACFep00_aFem02,-0.13322056503820037,-0.08813051826483018,0.06725957477363995,-0.32849182014866063,0.2693767458825249,0.2656019907670575,0.7275992310670926,0.19119428773887823,0.2934821833829092,0.3378177739008581,0.17642494600929842,0.04937175525559128,0.11329089785460635,0.24183795458551058,0.6057161434368259
Mbi2.80Zm1.79T00.0800_iTp0.00_ACFep00_aFem02,-0.1358390820683818,-0.09028649242780556,0.0568329565770162,-0.35796522853865803,0.26061211789404787,0.26557999883165784,0.7305262023352664,0.19891500444704044,0.2984005034693552,0.3423352050768886,0.1847617061828866,0.05508527644952887,0.11492389425212213,0.24860276236797055,0.6208956416627877
Mbi2.80Zm1.79T00.0900_iTp0.00_ACFep00_aFem02,-0.1376030130104563,-0.09174324781721482,0.05501013536629483,-0.382455285108149,0.24448274139139398,0.28105884257152275,0.7271599554045828,0.1916398155579233,0.31742334433292485,0.35563234487304063,0.19644827229816103,0.06392766776770992,0.12186279605132085,0.25076126812222377,0.5694619884545054
Mbi2.80Zm1.79T00.1000_iTp0.00_ACFep00_aFem02,-0.13774636963336234,-0.0923207779257395,0.05144460329874764,-0.3954507846968498,0.21772411308025844,0.29369144169755024,0.7183308769952464,0.18024155531276767,0.3244988107200478,0.35315696472294145,0.1969523843218487,0.06365261916177865,0.11754196885499933,0.24481519481292344,0.5319560810794898
Mbi2.80Zm1.79T00.1500_iTp0.00_ACFep00_aFem02,-0.14536636772021075,-0.09927442895737555,0.05415875932541948,-0.4897537367329212,0.16721203482193758,0.3275577375162674,0.696905072417784,0.22947474151792974,0.3571466953120897,0.38405045960932976,0.21984278509643657,0.0804751145508446,0.12693737846844122,0.2892832370030378,0.6192002761863226
Mbi2.80Zm1.79T00.2000_iTp0.00_ACFep00_aFem02,-0.15206922583532606,-0.105363824326422,0.0589515013330614,-0.5995181884248428,0.12417902453398702,0.331417949914406,0.6569006677712201,0.26754071629347165,0.35753730640738224,0.39089227329450427,0.21970787403906014,0.08680133635260796,0.13074569200941275,0.3132961128758043,0.7149389162305373
