,CN_1,CN_2,Ca4227,Fe4383,Ca4455,Fe4531,Fe5015,Mg_b,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,MgFe,Mgb/Fe
Mku1.30Zm1.79T00.4000_iTp0.00_ACFep00_aFem02,-0.1773448323341789,-0.12552217398858848,0.05164738417366239,-0.8491762733427887,0.07718780293621876,0.3673688632923745,0.696561538704762,0.32126557399502553,0.3367429501187547,0.35664569155577425,0.21946848621625484,0.10698937338256172,0.15099136248737516,0.3316236655324749,0.9266536966027343
Mku1.30Zm1.79T00.4500_iTp0.00_ACFep00_aFem02,-0.1802144437386643,-0.12853830781116207,0.058107366528775475,-0.9179983519137844,0.07014469251225212,0.3454340802962642,0.651245044552385,0.3437490358361692,0.3324070694089147,0.35601689462193703,0.1938269904142682,0.10533547790606568,0.12869738743307874,0.34137523184517554,0.9986550550142212
Mku1.30Zm1.79T00.5000_iTp0.00_ACFep00_aFem02,-0.18318050333232067,-0.13167515310408118,0.059443278260100194,-0.9723060440174532,0.06680348290249147,0.34919323747591,0.662672221442205,0.347914018695361,0.33588309094025576,0.3596758282388356,0.19652273051189809,0.10131229930261496,0.1277491881901574,0.3452191007152575,1.000386909295834
Mku1.30Zm1.79T00.6000_iTp0.00_ACFep00_aFem02,-0.18905398108404095,-0.13756720462766042,0.06352227812791549,-1.0345249689854472,0.0563093338039078,0.3653586232321998,0.6654965389556526,0.4012531754597949,0.33434872679683336,0.3600083595262963,0.19806013781143741,0.09413775065404491,0.12076211455303312,0.37019099244854803,1.1557545342687425
Mku1.30Zm1.79T00.7000_iTp0.00_ACFep00_aFem02,-0.19075793391997897,-0.13984959890444523,0.06999787380620005,-1.0451954953671374,0.05181701763807304,0.3778118950008818,0.6866983435905409,0.4378038159883814,0.3365203101586802,0.3561539803410546,0.196055310071595,0.08508790455899329,0.11197117101802616,0.3869582286873095,1.2640972012185545
Mku1.30Zm1.79T00.8000_iTp0.00_ACFep00_aFem02,-0.18666432839223263,-0.13728849231987672,0.0705832500584309,-1.000741418675868,0.06078363915862107,0.392539442876037,0.7383936795799305,0.4419488560562454,0.3515232860277817,0.3713672389285675,0.19754011092895246,0.07442458431887923,0.10145838987703472,0.3972542228556779,1.22272692973236
Mku1.30Zm1.79T00.9000_iTp0.00_ACFep00_aFem02,-0.17489234065710707,-0.12893735801424142,0.07375573166898491,-0.8013578711557694,0.08780429790908142,0.4891973638721503,0.8764427112049441,0.4979374361262337,0.4167202103269153,0.4226205919002102,0.22697849962397476,0.09132282230189048,0.11162676167717828,0.4564244066179475,1.1864964381690857
Mku1.30Zm1.79T01.0000_iTp0.00_ACFep00_aFem02,-0.16533155774629343,-0.12262623872223632,0.07107829192926779,-0.6092988687732519,0.10803089976607148,0.575179498561365,0.9567166925373167,0.486585620858402,0.4637865070940533,0.46241411378489744,0.25157183824403345,0.11336926591594071,0.1163135716448552,0.4748524667536205,1.0507132253844518
Mku1.30Zm1.79T01.2500_iTp0.00_ACFep00_aFem02,-0.15367130666173368,-0.11438944486481224,0.06314586006366274,-0.46094123996504516,0.10390429455551174,0.603278403661854,0.9298407712160961,0.43423198148282277,0.4729663468574751,0.4813372990888519,0.2577816108486924,0.12739776681088702,0.10874394622458865,0.4543070501537759,0.9100499266189439
Mku1.30Zm1.79T01.5000_iTp0.00_ACFep00_aFem02,-0.15135079590420733,-0.11309433462290489,0.06329859472987723,-0.4237596713380376,0.10625992523872434,0.6328792417613442,0.9413712568274105,0.4272506543077862,0.49218764619835287,0.503672642110113,0.27070606059273195,0.1407262156060868,0.10967984659153382,0.4600667843319071,0.8580534023171051
Mku1.30Zm1.79T01.7500_iTp0.00_ACFep00_aFem02,-0.1498778787356145,-0.11212163316217477,0.06075764800397577,-0.42083570738888276,0.10309832494904406,0.6266551351465212,0.9145142958191996,0.4133369563499801,0.48753159708934285,0.5033736669314738,0.26473858287342206,0.13964114538097122,0.1018562734448515,0.45094156837220745,0.8342612989515753
Mku1.30Zm1.79T02.0000_iTp0.00_ACFep00_aFem02,-0.14613475984562746,-0.10946829895332724,0.06341130450722865,-0.373192805320788,0.1080151251494405,0.6409586864879232,0.9284792814390405,0.4173104514687186,0.4945263841137288,0.5109059990424728,0.26564119579268564,0.14114173165260097,0.10083658993528336,0.4563824451903431,0.8301114196435948
Mku1.30Zm1.79T02.2500_iTp0.00_ACFep00_aFem02,-0.1381280212715266,-0.1031518394474322,0.06318679457137272,-0.28263184496355626,0.12348878311132962,0.6534045150814446,0.9490230062881109,0.42372117396178977,0.5023382819164194,0.5207081526632785,0.2672071606120143,0.13988085086100002,0.10011858633138408,0.4637141397834679,0.8283517925281051
Mku1.30Zm1.79T02.5000_iTp0.00_ACFep00_aFem02,-0.13094667905735574,-0.09711534439853335,0.06466444904585845,-0.20849792060506545,0.1322713828133627,0.6671522571825501,0.9587312640032941,0.42539834703978935,0.5121292530739836,0.5289218127678953,0.267986090942699,0.14033711052907555,0.09909396004874557,0.4688913790277814,0.8172478007998147
Mku1.30Zm1.79T02.7500_iTp0.00_ACFep00_aFem02,-0.12031179884649135,-0.08838698382969049,0.06286654294797014,-0.08797439219633199,0.144244896733621,0.676398122330328,0.9661844266748852,0.4170959562639392,0.5160545571793889,0.5407853526115557,0.2693242732599812,0.1414672896321664,0.09854199292373722,0.4670465727812229,0.7893266565726984
Mku1.30Zm1.79T03.0000_iTp0.00_ACFep00_aFem02,-0.11818274590251632,-0.0865681301664149,0.0608964978448709,-0.06163818462383294,0.1429961097555024,0.6804591376489039,0.959790447611733,0.4084266332261664,0.5183146577982056,0.5438950381066456,0.2719408523426592,0.14429244823826606,0.09769084690626562,0.46326975839782547,0.769013189769926
Mku1.30Zm1.79T03.2500_iTp0.00_ACFep00_aFem02,-0.11847743629329041,-0.08687610029816212,0.057995890161934266,-0.06969535171511189,0.14142238979659127,0.6727393876349124,0.9484297582530612,0.3977227790339677,0.5144191303898697,0.5445012217572198,0.2746753009047735,0.14544666623172453,0.09827286424936842,0.45601120530166067,0.7511854470027637
Mku1.30Zm1.79T03.5000_iTp0.00_ACFep00_aFem02,-0.11544801207638761,-0.08426573625372157,0.05948005691717333,-0.007313259422789787,0.13984928419813714,0.6906773559461298,0.9559344231205854,0.40335149576887863,0.5262122057041979,0.5536666659701625,0.2806575350919414,0.14888392830069064,0.10044251264176202,0.4640572632709181,0.747030998288686
Mku1.30Zm1.79T03.7500_iTp0.00_ACFep00_aFem02,-0.11348850739979265,-0.08250875039230388,0.05740486718517319,0.02687077760027758,0.13916389436794052,0.6916979114845802,0.9453677703917028,0.40284464503513795,0.5316698705870325,0.5569237801939069,0.28484455645391416,0.15137370528069258,0.10163710295772274,0.46586362051879887,0.7401194095632356
Mku1.30Zm1.79T04.0000_iTp0.00_ACFep00_aFem02,-0.11271987384045859,-0.08220421108912836,0.05707419781094553,0.04083154803375278,0.1398343501355684,0.6940464225013537,0.9410957101417213,0.40036293058682515,0.5351044104858717,0.5619207759054385,0.28766439614206285,0.15283335839608675,0.1012482829117329,0.46609240282720465,0.7299065428093374
Mku1.30Zm1.79T04.5000_iTp0.00_ACFep00_aFem02,-0.11127858592416577,-0.08106222323333521,0.0570309199024563,0.0976499186867639,0.13526776363609805,0.7049929152545501,0.9342067868634018,0.40662520417799547,0.5438463586433543,0.5684398116800979,0.29304442103644374,0.15720169845522078,0.10142916371221691,0.47322481509987985,0.731152135173539
Mku1.30Zm1.79T05.0000_iTp0.00_ACFep00_aFem02,-0.11061987955851588,-0.08031460704525788,0.0627196029030604,0.16392761976256012,0.13047487007523326,0.7490016780710905,0.9674860653368244,0.4178028380536572,0.5695178891489097,0.5882643322047725,0.3021152890954555,0.16460869987899268,0.10566283707337187,0.4900400383643614,0.7217295797911993
Mku1.30Zm1.79T05.5000_iTp0.00_ACFep00_aFem02,-0.10708024386105156,-0.07752901151354365,0.05928625973044754,0.22850996694779901,0.13122431991150163,0.7543851668505271,0.955334446252568,0.4147944747205441,0.577649713825062,0.5962826126065676,0.3082021165859045,0.16718623876955707,0.10671311982281448,0.49170110858942145,0.7066752748540177
Mku1.30Zm1.79T06.0000_iTp0.00_ACFep00_aFem02,-0.1074382981790664,-0.07777105576587726,0.06278107712870164,0.257122709153236,0.1266973993705797,0.7678457587134724,0.9567951551491601,0.42183992326063674,0.5883143845904184,0.6051951748019925,0.31342828325448635,0.16737141674786044,0.10830854271148051,0.500168344058309,0.7068898944980149
Mku1.30Zm1.79T06.5000_iTp0.00_ACFep00_aFem02,-0.10941857476125437,-0.0794088598485927,0.0664092406242531,0.27710410588371115,0.12113380850519952,0.778262115498788,0.9600322544285238,0.43666026962542753,0.5969879883021973,0.6108265240369734,0.3193299148285168,0.16873472966899894,0.11032857601143665,0.5122234890980949,0.7230584914561905
Mku1.30Zm1.79T07.0000_iTp0.00_ACFep00_aFem02,-0.11001952721306303,-0.08001836536897304,0.06843942226747604,0.2933327729344086,0.11910194905865089,0.789911969172199,0.9680762450992858,0.44512875412530634,0.6065076199576379,0.6191582748325888,0.32424318269111807,0.17023633152373818,0.11166543939794293,0.5211052762229412,0.726345990399758
Mku1.30Zm1.79T07.5000_iTp0.00_ACFep00_aFem02,-0.10909480955621166,-0.07944597412371594,0.06894981596799049,0.3155112981829847,0.12141964471136771,0.7905623419145021,0.9663031774988382,0.45286692707013215,0.6119635267273277,0.6239356642391477,0.32832058907467226,0.1713661977886876,0.11168845142238126,0.527878908143836,0.7328541524749917
Mku1.30Zm1.79T08.0000_iTp0.00_ACFep00_aFem02,-0.10771528285479699,-0.07833816056882284,0.07065964790555528,0.34058345938094625,0.12340280142726419,0.7964690799713895,0.9687138581682206,0.46125136380860104,0.6190094621468673,0.6296943666153089,0.3329767708571987,0.17203260499787498,0.11174675317861939,0.5356294597181679,0.7387682382071873
Mku1.30Zm1.79T08.5000_iTp0.00_ACFep00_aFem02,-0.10719359354733687,-0.0778500995211947,0.07042967829128464,0.36589919481045374,0.12326209612366863,0.8089830115253039,0.9747941285272125,0.46142597228410204,0.6267729075665666,0.6359671898962844,0.33699546534383057,0.17443457387955572,0.11358798737776116,0.5388851388385109,0.730832850261456
